"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Captopril","0143-1171-01","12.5 mg/1","TABLET","ORAL","ANDA074505","Hikma Pharmaceuticals USA Inc.","0143-1171","Captopril","CAPTOPRIL","HUMAN PRESCRIPTION DRUG","02/13/1996","N/A","ANDA","100 TABLET in 1 BOTTLE (0143-1171-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Captopril","0143-1171-10","12.5 mg/1","TABLET","ORAL","ANDA074505","Hikma Pharmaceuticals USA Inc.","0143-1171","Captopril","CAPTOPRIL","HUMAN PRESCRIPTION DRUG","02/13/1996","N/A","ANDA","1000 TABLET in 1 BOTTLE (0143-1171-10)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Captopril","0143-1172-10","25 mg/1","TABLET","ORAL","ANDA074505","Hikma Pharmaceuticals USA Inc.","0143-1172","Captopril","CAPTOPRIL","HUMAN PRESCRIPTION DRUG","02/13/1996","N/A","ANDA","1000 TABLET in 1 BOTTLE (0143-1172-10)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Captopril","0143-1172-01","25 mg/1","TABLET","ORAL","ANDA074505","Hikma Pharmaceuticals USA Inc.","0143-1172","Captopril","CAPTOPRIL","HUMAN PRESCRIPTION DRUG","02/13/1996","N/A","ANDA","100 TABLET in 1 BOTTLE (0143-1172-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Captopril","0143-1173-10","50 mg/1","TABLET","ORAL","ANDA074505","Hikma Pharmaceuticals USA Inc.","0143-1173","Captopril","CAPTOPRIL","HUMAN PRESCRIPTION DRUG","02/13/1996","N/A","ANDA","1000 TABLET in 1 BOTTLE (0143-1173-10)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Captopril","0143-1173-01","50 mg/1","TABLET","ORAL","ANDA074505","Hikma Pharmaceuticals USA Inc.","0143-1173","Captopril","CAPTOPRIL","HUMAN PRESCRIPTION DRUG","02/13/1996","N/A","ANDA","100 TABLET in 1 BOTTLE (0143-1173-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Captopril","0143-1174-01","100 mg/1","TABLET","ORAL","ANDA074505","Hikma Pharmaceuticals USA Inc.","0143-1174","Captopril","CAPTOPRIL","HUMAN PRESCRIPTION DRUG","02/13/1996","N/A","ANDA","100 TABLET in 1 BOTTLE (0143-1174-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Captopril","0904-7105-61","12.5 mg/1","TABLET","ORAL","ANDA212809","Major Pharmaceuticals","0904-7105","Captopril","CAPTOPRIL","HUMAN PRESCRIPTION DRUG","12/13/2019","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0904-7105-61)  / 1 TABLET in 1 BLISTER PACK","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2027"
"Captopril","0904-7106-61","25 mg/1","TABLET","ORAL","ANDA212809","Major Pharmaceuticals","0904-7106","Captopril","CAPTOPRIL","HUMAN PRESCRIPTION DRUG","12/13/2019","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0904-7106-61)  / 1 TABLET in 1 BLISTER PACK","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2027"
"Captopril","11788-135-01","12.5 mg/1","TABLET","ORAL","ANDA214442","AiPing Pharmaceutical, Inc.","11788-135","Captopril","CAPTOPRIL","HUMAN PRESCRIPTION DRUG","04/01/2026","N/A","ANDA","100 TABLET in 1 BOTTLE (11788-135-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2027"
"Captopril","11788-136-01","25 mg/1","TABLET","ORAL","ANDA214442","AiPing Pharmaceutical, Inc.","11788-136","Captopril","CAPTOPRIL","HUMAN PRESCRIPTION DRUG","04/01/2026","N/A","ANDA","100 TABLET in 1 BOTTLE (11788-136-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2027"
"Captopril","11788-137-01","50 mg/1","TABLET","ORAL","ANDA214442","AiPing Pharmaceutical, Inc.","11788-137","Captopril","CAPTOPRIL","HUMAN PRESCRIPTION DRUG","04/01/2026","N/A","ANDA","100 TABLET in 1 BOTTLE (11788-137-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2027"
"Captopril","11788-138-01","100 mg/1","TABLET","ORAL","ANDA214442","AiPing Pharmaceutical, Inc.","11788-138","Captopril","CAPTOPRIL","HUMAN PRESCRIPTION DRUG","04/01/2026","N/A","ANDA","100 TABLET in 1 BOTTLE (11788-138-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2027"
"Captopril","27241-160-10","12.5 mg/1","TABLET","ORAL","ANDA212809","Ajanta Pharma USA Inc.","27241-160","Captopril","CAPTOPRIL","HUMAN PRESCRIPTION DRUG","12/13/2019","N/A","ANDA","1000 TABLET in 1 BOTTLE (27241-160-10)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Captopril","27241-160-01","12.5 mg/1","TABLET","ORAL","ANDA212809","Ajanta Pharma USA Inc.","27241-160","Captopril","CAPTOPRIL","HUMAN PRESCRIPTION DRUG","12/13/2019","N/A","ANDA","100 TABLET in 1 BOTTLE (27241-160-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Captopril","27241-161-01","25 mg/1","TABLET","ORAL","ANDA212809","Ajanta Pharma USA Inc.","27241-161","Captopril","CAPTOPRIL","HUMAN PRESCRIPTION DRUG","12/13/2019","N/A","ANDA","100 TABLET in 1 BOTTLE (27241-161-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Captopril","27241-161-10","25 mg/1","TABLET","ORAL","ANDA212809","Ajanta Pharma USA Inc.","27241-161","Captopril","CAPTOPRIL","HUMAN PRESCRIPTION DRUG","12/13/2019","N/A","ANDA","1000 TABLET in 1 BOTTLE (27241-161-10)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
