"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"CHILDRENS ZYRTEC","50090-6781-0","10 mg/1","TABLET, CHEWABLE","ORAL","NDA021621","A-S Medication Solutions","50090-6781","Cetirizine hydrochloride","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","10/26/2023","N/A","NDA","4 BLISTER PACK in 1 CARTON (50090-6781-0)  / 6 TABLET, CHEWABLE in 1 BLISTER PACK","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Childrens Zyrtec","50090-6845-0","2.5 mg/1","TABLET, CHEWABLE","ORAL","NDA021621","A-S Medication Solutions","50090-6845","Cetirizine hydrochloride","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","11/29/2023","N/A","NDA","4 BLISTER PACK in 1 CARTON (50090-6845-0)  / 6 TABLET, CHEWABLE in 1 BLISTER PACK","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Childrens Zyrtec","50580-730-19","5 mg/5mL","SYRUP","ORAL","NDA022155","Kenvue Brands LLC","50580-730","Cetirizine Hydrochloride","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","06/16/2020","N/A","NDA","1 BOTTLE, PLASTIC in 1 CARTON (50580-730-19)  / 240 mL in 1 BOTTLE, PLASTIC","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Childrens Zyrtec","50580-730-18","5 mg/5mL","SYRUP","ORAL","NDA022155","Kenvue Brands LLC","50580-730","Cetirizine Hydrochloride","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","12/03/2018","N/A","NDA","2 CARTON in 1 PACKAGE (50580-730-18)  / 1 BOTTLE in 1 CARTON / 118 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Childrens Zyrtec","50580-730-17","5 mg/5mL","SYRUP","ORAL","NDA022155","Kenvue Brands LLC","50580-730","Cetirizine Hydrochloride","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","12/03/2018","N/A","NDA","3 TRAY in 1 PACKAGE (50580-730-17)  / 1 BOTTLE in 1 TRAY / 118 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Childrens Zyrtec","50580-730-06","5 mg/5mL","SYRUP","ORAL","NDA022155","Kenvue Brands LLC","50580-730","Cetirizine Hydrochloride","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","07/31/2015","N/A","NDA","2 CARTON in 1 PACKAGE (50580-730-06)  / 1 BOTTLE, PLASTIC in 1 CARTON / 118 mL in 1 BOTTLE, PLASTIC","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Childrens Zyrtec","50580-730-05","5 mg/5mL","SYRUP","ORAL","NDA022155","Kenvue Brands LLC","50580-730","Cetirizine Hydrochloride","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","07/13/2015","N/A","NDA","1 BOTTLE, PLASTIC in 1 CARTON (50580-730-05)  / 118 mL in 1 BOTTLE, PLASTIC","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Childrens Zyrtec","50580-730-01","5 mg/5mL","SYRUP","ORAL","NDA022155","Kenvue Brands LLC","50580-730","Cetirizine Hydrochloride","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","01/16/2017","N/A","NDA","1 BOTTLE, PLASTIC in 1 CARTON (50580-730-01)  / 30 mL in 1 BOTTLE, PLASTIC","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Childrens Zyrtec","50580-790-03","2.5 mg/1","TABLET, CHEWABLE","ORAL","NDA021621","Kenvue Brands LLC","50580-790","Cetirizine hydrochloride","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","09/01/2022","N/A","NDA","1 BLISTER PACK in 1 CARTON (50580-790-03)  / 6 TABLET, CHEWABLE in 1 BLISTER PACK","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Childrens Zyrtec","50580-790-02","2.5 mg/1","TABLET, CHEWABLE","ORAL","NDA021621","Kenvue Brands LLC","50580-790","Cetirizine hydrochloride","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","06/21/2021","N/A","NDA","4 BLISTER PACK in 1 CARTON (50580-790-02)  / 6 TABLET, CHEWABLE in 1 BLISTER PACK","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Childrens Zyrtec","50580-790-01","2.5 mg/1","TABLET, CHEWABLE","ORAL","NDA021621","Kenvue Brands LLC","50580-790","Cetirizine hydrochloride","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","06/21/2021","N/A","NDA","2 BLISTER PACK in 1 CARTON (50580-790-01)  / 6 TABLET, CHEWABLE in 1 BLISTER PACK","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
