Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
BELBUCA,59385-021-60,75 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-021,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/01/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-021-60) / 1 FILM, SOLUBLE in 1 POUCH (59385-021-01)","Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
BELBUCA,59385-022-60,150 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-022,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/01/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-022-60) / 1 FILM, SOLUBLE in 1 POUCH (59385-022-01)","Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
BELBUCA,59385-023-60,300 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-023,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/01/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-023-60) / 1 FILM, SOLUBLE in 1 POUCH (59385-023-01)","Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
BELBUCA,59385-024-60,450 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-024,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/21/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-024-60) / 1 FILM, SOLUBLE in 1 POUCH (59385-024-01)","Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
BELBUCA,59385-025-60,600 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-025,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/24/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-025-60) / 1 FILM, SOLUBLE in 1 POUCH (59385-025-01)","Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
BELBUCA,59385-026-60,750 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-026,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/01/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-026-60) / 1 FILM, SOLUBLE in 1 POUCH (59385-026-01)","Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
BELBUCA,59385-027-60,900 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-027,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/11/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-027-60) / 1 FILM, SOLUBLE in 1 POUCH (59385-027-01)","Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
BRIXADI,58284-208-01,8 mg/.16mL,INJECTION,SUBCUTANEOUS,NDA210136,Braeburn Inc.,58284-208,BUPRENORPHINE,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,06/06/2023,N/A,NDA,"1 SYRINGE, GLASS in 1 CARTON (58284-208-01) / .16 mL in 1 SYRINGE, GLASS","Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
BRIXADI,58284-216-01,16 mg/.32mL,INJECTION,SUBCUTANEOUS,NDA210136,Braeburn Inc.,58284-216,BUPRENORPHINE,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,06/06/2023,N/A,NDA,"1 SYRINGE, GLASS in 1 CARTON (58284-216-01) / .32 mL in 1 SYRINGE, GLASS","Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
BRIXADI,58284-224-01,24 mg/.48mL,INJECTION,SUBCUTANEOUS,NDA210136,Braeburn Inc.,58284-224,BUPRENORPHINE,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,06/06/2023,N/A,NDA,"1 SYRINGE, GLASS in 1 CARTON (58284-224-01) / .48 mL in 1 SYRINGE, GLASS","Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
BRIXADI,58284-228-01,128 mg/.36mL,INJECTION,SUBCUTANEOUS,NDA210136,Braeburn Inc.,58284-228,BUPRENORPHINE,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,06/06/2023,N/A,NDA,"1 SYRINGE, GLASS in 1 CARTON (58284-228-01) / .36 mL in 1 SYRINGE, GLASS","Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
BRIXADI,58284-232-01,32 mg/.64mL,INJECTION,SUBCUTANEOUS,NDA210136,Braeburn Inc.,58284-232,BUPRENORPHINE,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,06/06/2023,N/A,NDA,"1 SYRINGE, GLASS in 1 CARTON (58284-232-01) / .64 mL in 1 SYRINGE, GLASS","Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
BRIXADI,58284-264-01,64 mg/.18mL,INJECTION,SUBCUTANEOUS,NDA210136,Braeburn Inc.,58284-264,BUPRENORPHINE,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,06/06/2023,N/A,NDA,"1 SYRINGE, GLASS in 1 CARTON (58284-264-01) / .18 mL in 1 SYRINGE, GLASS","Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
BRIXADI,58284-296-01,96 mg/.27mL,INJECTION,SUBCUTANEOUS,NDA210136,Braeburn Inc.,58284-296,BUPRENORPHINE,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,06/06/2023,N/A,NDA,"1 SYRINGE, GLASS in 1 CARTON (58284-296-01) / .27 mL in 1 SYRINGE, GLASS","Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,0054-0176-13,2 mg/1,TABLET,SUBLINGUAL,ANDA078633,Hikma Pharmaceuticals USA Inc.,0054-0176,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/08/2009,N/A,ANDA,30 TABLET in 1 BOTTLE (0054-0176-13),"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,0054-0177-13,8 mg/1,TABLET,SUBLINGUAL,ANDA078633,Hikma Pharmaceuticals USA Inc.,0054-0177,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/08/2009,N/A,ANDA,30 TABLET in 1 BOTTLE (0054-0177-13),"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,0093-3239-40,7.5 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA204937,"Teva Pharmaceuticals USA, Inc.",0093-3239,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,12/27/2021,N/A,ANDA,4 POUCH in 1 CARTON (0093-3239-40) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,0093-3656-40,5 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA204937,"Teva Pharmaceuticals USA, Inc.",0093-3656,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/26/2018,N/A,ANDA,4 POUCH in 1 CARTON (0093-3656-40) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,0093-3657-40,10 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA204937,"Teva Pharmaceuticals USA, Inc.",0093-3657,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/26/2018,N/A,ANDA,4 POUCH in 1 CARTON (0093-3657-40) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,0093-3658-40,15 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA204937,"Teva Pharmaceuticals USA, Inc.",0093-3658,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/26/2018,N/A,ANDA,4 POUCH in 1 CARTON (0093-3658-40) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,0093-3659-40,20 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA204937,"Teva Pharmaceuticals USA, Inc.",0093-3659,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/26/2018,N/A,ANDA,4 POUCH in 1 CARTON (0093-3659-40) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,0228-3153-03,8 mg/1,TABLET,SUBLINGUAL,ANDA090819,"Actavis Pharma, Inc.",0228-3153,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/10/2015,N/A,ANDA,30 TABLET in 1 BOTTLE (0228-3153-03),"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,0228-3156-03,2 mg/1,TABLET,SUBLINGUAL,ANDA090819,"Actavis Pharma, Inc.",0228-3156,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/10/2015,N/A,ANDA,30 TABLET in 1 BOTTLE (0228-3156-03),"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,0904-7154-04,2 mg/1,TABLET,SUBLINGUAL,ANDA078633,Major Pharmaceuticals,0904-7154,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/08/2009,N/A,ANDA,30 BLISTER PACK in 1 CARTON (0904-7154-04) / 1 TABLET in 1 BLISTER PACK,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,0904-7155-04,8 mg/1,TABLET,SUBLINGUAL,ANDA078633,Major Pharmaceuticals,0904-7155,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/08/2009,N/A,ANDA,30 BLISTER PACK in 1 CARTON (0904-7155-04) / 1 TABLET in 1 BLISTER PACK,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,3215-1521-04,5 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA210272,Aveva Drug Delivery Systems Inc.,3215-1521,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/01/2023,N/A,ANDA,4 POUCH in 1 CARTON (3215-1521-04) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,3215-1522-04,7.5 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA210272,Aveva Drug Delivery Systems Inc.,3215-1522,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/01/2023,N/A,ANDA,4 POUCH in 1 CARTON (3215-1522-04) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,3215-1523-04,10 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA210272,Aveva Drug Delivery Systems Inc.,3215-1523,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/01/2023,N/A,ANDA,4 POUCH in 1 CARTON (3215-1523-04) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,3215-1524-04,15 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA210272,Aveva Drug Delivery Systems Inc.,3215-1524,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/01/2023,N/A,ANDA,4 POUCH in 1 CARTON (3215-1524-04) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,3215-1525-04,20 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA210272,Aveva Drug Delivery Systems Inc.,3215-1525,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/01/2023,N/A,ANDA,4 POUCH in 1 CARTON (3215-1525-04) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,42858-353-40,7.5 ug/h,PATCH,TRANSDERMAL,NDA021306,Rhodes Pharmaceuticals LLC,42858-353,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,NDA AUTHORIZED GENERIC,4 POUCH in 1 CARTON (42858-353-40) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,42858-493-40,10 ug/h,PATCH,TRANSDERMAL,NDA021306,Rhodes Pharmaceuticals LLC,42858-493,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,NDA AUTHORIZED GENERIC,4 POUCH in 1 CARTON (42858-493-40) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
BUPRENORPHINE,42858-501-03,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,Rhodes Pharmaceuticals LLC,42858-501,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/25/2017,N/A,ANDA,30 TABLET in 1 BOTTLE (42858-501-03),"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
BUPRENORPHINE,42858-502-03,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Rhodes Pharmaceuticals LLC,42858-502,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/25/2017,N/A,ANDA,30 TABLET in 1 BOTTLE (42858-502-03),"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,42858-586-40,15 ug/h,PATCH,TRANSDERMAL,NDA021306,Rhodes Pharmaceuticals LLC,42858-586,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,NDA AUTHORIZED GENERIC,4 POUCH in 1 CARTON (42858-586-40) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,42858-750-40,5 ug/h,PATCH,TRANSDERMAL,NDA021306,Rhodes Pharmaceuticals LLC,42858-750,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,NDA AUTHORIZED GENERIC,4 POUCH in 1 CARTON (42858-750-40) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,42858-839-40,20 ug/h,PATCH,TRANSDERMAL,NDA021306,Rhodes Pharmaceuticals LLC,42858-839,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,NDA AUTHORIZED GENERIC,4 POUCH in 1 CARTON (42858-839-40) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
BUPRENORPHINE,50090-5805-0,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,A-S Medication Solutions,50090-5805,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/15/2021,N/A,ANDA,30 TABLET in 1 BOTTLE (50090-5805-0),"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,50268-128-15,2 mg/1,TABLET,SUBLINGUAL,ANDA201760,AvPAK,50268-128,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/19/2024,N/A,ANDA,50 BLISTER PACK in 1 BOX (50268-128-15) / 1 TABLET in 1 BLISTER PACK (50268-128-11),"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,50268-129-15,8 mg/1,TABLET,SUBLINGUAL,ANDA201760,AvPAK,50268-129,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/19/2024,N/A,ANDA,50 BLISTER PACK in 1 BOX (50268-129-15) / 1 TABLET in 1 BLISTER PACK (50268-129-11),"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,50742-372-04,5 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA210272,"INGENUS PHARMACEUTICALS, LLC",50742-372,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/01/2023,N/A,ANDA,4 POUCH in 1 CARTON (50742-372-04) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,50742-373-04,7.5 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA210272,"INGENUS PHARMACEUTICALS, LLC",50742-373,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/01/2023,N/A,ANDA,4 POUCH in 1 CARTON (50742-373-04) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,50742-374-04,10 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA210272,"INGENUS PHARMACEUTICALS, LLC",50742-374,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/01/2023,N/A,ANDA,4 POUCH in 1 CARTON (50742-374-04) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,50742-375-04,15 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA210272,"INGENUS PHARMACEUTICALS, LLC",50742-375,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/01/2023,N/A,ANDA,4 POUCH in 1 CARTON (50742-375-04) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,50742-376-04,20 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA210272,"INGENUS PHARMACEUTICALS, LLC",50742-376,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/01/2023,N/A,ANDA,4 POUCH in 1 CARTON (50742-376-04) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,58118-0460-8,8 mg/1,TABLET,SUBLINGUAL,ANDA201760,"Clinical Solutions Wholesale, LLC",58118-0460,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/03/2025,N/A,ANDA,30 TABLET in 1 BLISTER PACK (58118-0460-8),"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2026
BUPRENORPHINE,58118-0501-8,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,"Clinical Solutions Wholesale, LLC",58118-0501,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/25/2017,N/A,ANDA,30 TABLET in 1 BLISTER PACK (58118-0501-8),"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2026
BUPRENORPHINE,58118-0502-8,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,"Clinical Solutions Wholesale, LLC",58118-0502,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/07/2022,N/A,ANDA,30 TABLET in 1 BLISTER PACK (58118-0502-8),"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2026
Buprenorphine,58118-4459-8,2 mg/1,TABLET,SUBLINGUAL,ANDA201760,"Clinical Solutions Wholesale, LLC",58118-4459,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/17/2025,N/A,ANDA,30 TABLET in 1 BLISTER PACK (58118-4459-8),"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2026
Buprenorphine,60687-481-21,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,American Health Packaging,60687-481,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/06/2020,N/A,ANDA,"30 BLISTER PACK in 1 BOX, UNIT-DOSE (60687-481-21) / 1 TABLET in 1 BLISTER PACK (60687-481-11)","Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2026
Buprenorphine,60687-492-21,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,American Health Packaging,60687-492,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/06/2020,N/A,ANDA,"30 BLISTER PACK in 1 BOX, UNIT-DOSE (60687-492-21) / 1 TABLET in 1 BLISTER PACK (60687-492-11)","Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2026
Buprenorphine,62756-459-64,2 mg/1,TABLET,SUBLINGUAL,ANDA201760,"Sun Pharmaceutical Industries, Inc.",62756-459,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/17/2016,N/A,ANDA,3 BLISTER PACK in 1 CARTON (62756-459-64) / 10 TABLET in 1 BLISTER PACK,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,62756-459-83,2 mg/1,TABLET,SUBLINGUAL,ANDA201760,"Sun Pharmaceutical Industries, Inc.",62756-459,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/17/2016,N/A,ANDA,30 TABLET in 1 BOTTLE (62756-459-83),"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,62756-460-83,8 mg/1,TABLET,SUBLINGUAL,ANDA201760,"Sun Pharmaceutical Industries, Inc.",62756-460,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/17/2016,N/A,ANDA,30 TABLET in 1 BOTTLE (62756-460-83),"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,62756-460-64,8 mg/1,TABLET,SUBLINGUAL,ANDA201760,"Sun Pharmaceutical Industries, Inc.",62756-460,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/17/2016,N/A,ANDA,3 BLISTER PACK in 1 CARTON (62756-460-64) / 10 TABLET in 1 BLISTER PACK,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
BUPRENORPHINE,63629-9475-1,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,63629-9475,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,11/28/2022,N/A,ANDA,30 TABLET in 1 BOTTLE (63629-9475-1),"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,67296-2173-3,8 mg/1,TABLET,SUBLINGUAL,ANDA201760,Redpharm Drug,67296-2173,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/17/2016,N/A,ANDA,30 TABLET in 1 BOTTLE (67296-2173-3),"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2026
Buprenorphine,69238-1202-2,5 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA211586,Amneal Pharmaceuticals NY LLC,69238-1202,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,04/20/2020,N/A,ANDA,4 POUCH in 1 CARTON (69238-1202-2) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,69238-1203-2,10 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA211586,Amneal Pharmaceuticals NY LLC,69238-1203,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,04/20/2020,N/A,ANDA,4 POUCH in 1 CARTON (69238-1203-2) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,69238-1204-2,15 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA211586,Amneal Pharmaceuticals NY LLC,69238-1204,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,04/20/2020,N/A,ANDA,4 POUCH in 1 CARTON (69238-1204-2) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
Buprenorphine,69238-1205-2,20 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA211586,Amneal Pharmaceuticals NY LLC,69238-1205,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,04/20/2020,N/A,ANDA,4 POUCH in 1 CARTON (69238-1205-2) / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",CIII,No,12/31/2027
