"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Micardis HCT","0597-0042-37","25 mg/1,                         80  mg/1","TABLET","ORAL","NDA021162","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0042","telmisartan and hydrochlorothiazide","HYDROCHLOROTHIAZIDE;  TELMISARTAN","HUMAN PRESCRIPTION DRUG","12/01/2000","N/A","NDA","3 BLISTER PACK in 1 CARTON (0597-0042-37)  / 10 TABLET in 1 BLISTER PACK","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2026"
"Micardis HCT","0597-0043-37","12.5 mg/1,                         40  mg/1","TABLET","ORAL","NDA021162","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0043","telmisartan and hydrochlorothiazide","HYDROCHLOROTHIAZIDE;  TELMISARTAN","HUMAN PRESCRIPTION DRUG","12/01/2000","N/A","NDA","3 BLISTER PACK in 1 CARTON (0597-0043-37)  / 10 TABLET in 1 BLISTER PACK","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2026"
"Micardis HCT","0597-0044-37","12.5 mg/1,                         80  mg/1","TABLET","ORAL","NDA021162","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0044","telmisartan and hydrochlorothiazide","HYDROCHLOROTHIAZIDE;  TELMISARTAN","HUMAN PRESCRIPTION DRUG","12/01/2000","N/A","NDA","3 BLISTER PACK in 1 CARTON (0597-0044-37)  / 10 TABLET in 1 BLISTER PACK","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2026"
"Telmisartan","0378-2920-93","20 mg/1","TABLET","ORAL","ANDA202397","Mylan Pharmaceuticals Inc.","0378-2920","telmisartan","TELMISARTAN","HUMAN PRESCRIPTION DRUG","07/07/2014","N/A","ANDA","30 TABLET in 1 BOTTLE, PLASTIC (0378-2920-93)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Telmisartan","0378-2920-77","20 mg/1","TABLET","ORAL","ANDA202397","Mylan Pharmaceuticals Inc.","0378-2920","telmisartan","TELMISARTAN","HUMAN PRESCRIPTION DRUG","07/07/2014","N/A","ANDA","90 TABLET in 1 BOTTLE, PLASTIC (0378-2920-77)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Telmisartan","0378-2921-93","40 mg/1","TABLET","ORAL","ANDA202397","Mylan Pharmaceuticals Inc.","0378-2921","telmisartan","TELMISARTAN","HUMAN PRESCRIPTION DRUG","07/07/2014","N/A","ANDA","30 TABLET in 1 BOTTLE, PLASTIC (0378-2921-93)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Telmisartan","0378-2921-77","40 mg/1","TABLET","ORAL","ANDA202397","Mylan Pharmaceuticals Inc.","0378-2921","telmisartan","TELMISARTAN","HUMAN PRESCRIPTION DRUG","07/07/2014","N/A","ANDA","90 TABLET in 1 BOTTLE, PLASTIC (0378-2921-77)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Telmisartan","0378-2922-93","80 mg/1","TABLET","ORAL","ANDA202397","Mylan Pharmaceuticals Inc.","0378-2922","telmisartan","TELMISARTAN","HUMAN PRESCRIPTION DRUG","07/07/2014","N/A","ANDA","30 TABLET in 1 BOTTLE, PLASTIC (0378-2922-93)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Telmisartan","0378-2922-77","80 mg/1","TABLET","ORAL","ANDA202397","Mylan Pharmaceuticals Inc.","0378-2922","telmisartan","TELMISARTAN","HUMAN PRESCRIPTION DRUG","07/07/2014","N/A","ANDA","90 TABLET in 1 BOTTLE, PLASTIC (0378-2922-77)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Telmisartan","33342-118-07","20 mg/1","TABLET","ORAL","ANDA203986","Macleods Pharmaceuticals Limited","33342-118","Telmisartan","TELMISARTAN","HUMAN PRESCRIPTION DRUG","01/15/2025","N/A","ANDA","30 TABLET in 1 CONTAINER (33342-118-07)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2027"
"Telmisartan","33342-118-10","20 mg/1","TABLET","ORAL","ANDA203986","Macleods Pharmaceuticals Limited","33342-118","Telmisartan","TELMISARTAN","HUMAN PRESCRIPTION DRUG","01/15/2025","N/A","ANDA","90 TABLET in 1 CONTAINER (33342-118-10)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2027"
"Telmisartan","33342-119-07","40 mg/1","TABLET","ORAL","ANDA203986","Macleods Pharmaceuticals Limited","33342-119","Telmisartan","TELMISARTAN","HUMAN PRESCRIPTION DRUG","01/15/2025","N/A","ANDA","30 TABLET in 1 CONTAINER (33342-119-07)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2027"
"Telmisartan","33342-119-10","40 mg/1","TABLET","ORAL","ANDA203986","Macleods Pharmaceuticals Limited","33342-119","Telmisartan","TELMISARTAN","HUMAN PRESCRIPTION DRUG","01/15/2025","N/A","ANDA","90 TABLET in 1 CONTAINER (33342-119-10)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2027"
"Telmisartan","33342-120-07","80 mg/1","TABLET","ORAL","ANDA203986","Macleods Pharmaceuticals Limited","33342-120","Telmisartan","TELMISARTAN","HUMAN PRESCRIPTION DRUG","01/15/2025","N/A","ANDA","30 TABLET in 1 CONTAINER (33342-120-07)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2027"
"Telmisartan","33342-120-10","80 mg/1","TABLET","ORAL","ANDA203986","Macleods Pharmaceuticals Limited","33342-120","Telmisartan","TELMISARTAN","HUMAN PRESCRIPTION DRUG","01/15/2025","N/A","ANDA","90 TABLET in 1 CONTAINER (33342-120-10)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2027"
