"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Brevibloc","0404-9825-10","10 mg/mL","INJECTION","INTRAVENOUS","NDA019386","Henry Schein, Inc","0404-9825","esmolol hydrochloride","ESMOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/09/2022","N/A","NDA","1 VIAL, SINGLE-DOSE in 1 BAG (0404-9825-10)  / 10 mL in 1 VIAL, SINGLE-DOSE","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Brevibloc","10019-055-61","10 mg/mL","INJECTION","INTRAVENOUS","NDA019386","Baxter Healthcare Company","10019-055","Esmolol Hydrochloride","ESMOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/31/1986","N/A","NDA","10 BAG in 1 CARTON (10019-055-61)  / 250 mL in 1 BAG","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
"Brevibloc","10019-075-87","20 mg/mL","INJECTION","INTRAVENOUS","NDA019386","Baxter Healthcare Company","10019-075","Esmolol Hydrochloride","ESMOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/31/1986","N/A","NDA","10 BAG in 1 CARTON (10019-075-87)  / 100 mL in 1 BAG","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
"Brevibloc","10019-115-01","10 mg/mL","INJECTION","INTRAVENOUS","NDA019386","Baxter Healthcare Company","10019-115","Esmolol Hydrochloride","ESMOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/31/1986","N/A","NDA","25 VIAL in 1 CARTON (10019-115-01)  / 10 mL in 1 VIAL (10019-115-39)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
"BREVIBLOC","10019-666-10","20 mg/mL","INJECTION","INTRAVENOUS","NDA019386","Baxter Healthcare Company","10019-666","esmolol hydrochloride","ESMOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","11/01/2017","N/A","NDA","10 BAG in 1 CARTON (10019-666-10)  / 100 mL in 1 BAG","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
"BREVIBLOC","10019-668-10","20 mg/mL","INJECTION","INTRAVENOUS","NDA019386","Baxter Healthcare Company","10019-668","esmolol hydrochloride","ESMOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/31/2018","N/A","NDA","10 BAG in 1 CARTON (10019-668-10)  / 100 mL in 1 BAG","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
"BREVIBLOC","10019-670-10","10 mg/mL","INJECTION","INTRAVENOUS","NDA019386","Baxter Healthcare Company","10019-670","esmolol hydrochloride","ESMOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","11/01/2017","N/A","NDA","10 BAG in 1 CARTON (10019-670-10)  / 250 mL in 1 BAG","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
"BREVIBLOC","10019-672-10","10 mg/mL","INJECTION","INTRAVENOUS","NDA019386","Baxter Healthcare Company","10019-672","esmolol hydrochloride","ESMOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/31/2018","N/A","NDA","10 BAG in 1 CARTON (10019-672-10)  / 250 mL in 1 BAG","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
