Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Dexilant,64764-171-00,30 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,NDA022287,"Takeda Pharmaceuticals America, Inc.",64764-171,dexlansoprazole,DEXLANSOPRAZOLE,HUMAN PRESCRIPTION DRUG,04/12/2010,N/A,NDA,"7 CAPSULE, DELAYED RELEASE in 1 BOTTLE (64764-171-00)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
Dexilant,64764-171-11,30 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,NDA022287,"Takeda Pharmaceuticals America, Inc.",64764-171,dexlansoprazole,DEXLANSOPRAZOLE,HUMAN PRESCRIPTION DRUG,04/12/2010,N/A,NDA,"10 BLISTER PACK in 1 CARTON (64764-171-11) / 10 CAPSULE, DELAYED RELEASE in 1 BLISTER PACK","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
Dexilant,64764-171-01,30 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,NDA022287,"Takeda Pharmaceuticals America, Inc.",64764-171,dexlansoprazole,DEXLANSOPRAZOLE,HUMAN PRESCRIPTION DRUG,04/12/2010,N/A,NDA,"5 BLISTER PACK in 1 TRAY (64764-171-01) / 4 CAPSULE, DELAYED RELEASE in 1 BLISTER PACK","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
Dexilant,64764-171-19,30 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,NDA022287,"Takeda Pharmaceuticals America, Inc.",64764-171,dexlansoprazole,DEXLANSOPRAZOLE,HUMAN PRESCRIPTION DRUG,04/12/2010,N/A,NDA,"1000 CAPSULE, DELAYED RELEASE in 1 BOTTLE (64764-171-19)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
Dexilant,64764-171-30,30 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,NDA022287,"Takeda Pharmaceuticals America, Inc.",64764-171,dexlansoprazole,DEXLANSOPRAZOLE,HUMAN PRESCRIPTION DRUG,04/12/2010,N/A,NDA,"30 CAPSULE, DELAYED RELEASE in 1 BOTTLE (64764-171-30)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
Dexilant,64764-171-03,30 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,NDA022287,"Takeda Pharmaceuticals America, Inc.",64764-171,dexlansoprazole,DEXLANSOPRAZOLE,HUMAN PRESCRIPTION DRUG,04/12/2010,N/A,NDA,"1 BOTTLE in 1 CARTON (64764-171-03) / 5 CAPSULE, DELAYED RELEASE in 1 BOTTLE","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
Dexilant,64764-171-90,30 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,NDA022287,"Takeda Pharmaceuticals America, Inc.",64764-171,dexlansoprazole,DEXLANSOPRAZOLE,HUMAN PRESCRIPTION DRUG,04/12/2010,N/A,NDA,"90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (64764-171-90)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
Dexilant,64764-175-00,60 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,NDA022287,"Takeda Pharmaceuticals America, Inc.",64764-175,dexlansoprazole,DEXLANSOPRAZOLE,HUMAN PRESCRIPTION DRUG,04/12/2010,N/A,NDA,"7 CAPSULE, DELAYED RELEASE in 1 BOTTLE (64764-175-00)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
Dexilant,64764-175-01,60 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,NDA022287,"Takeda Pharmaceuticals America, Inc.",64764-175,dexlansoprazole,DEXLANSOPRAZOLE,HUMAN PRESCRIPTION DRUG,04/12/2010,N/A,NDA,"5 BLISTER PACK in 1 TRAY (64764-175-01) / 4 CAPSULE, DELAYED RELEASE in 1 BLISTER PACK","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
Dexilant,64764-175-19,60 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,NDA022287,"Takeda Pharmaceuticals America, Inc.",64764-175,dexlansoprazole,DEXLANSOPRAZOLE,HUMAN PRESCRIPTION DRUG,04/12/2010,N/A,NDA,"1000 CAPSULE, DELAYED RELEASE in 1 BOTTLE (64764-175-19)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",N/A,No,12/31/2026
