"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"SOLU-MEDROL","0009-0003-02","500 mg/4mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Pharmacia & Upjohn Company LLC","0009-0003","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/02/1959","N/A","NDA","1 VIAL in 1 CARTON (0009-0003-02)  / 4 mL in 1 VIAL","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"SOLU-MEDROL","0009-0018-20","1 g/8mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Pharmacia & Upjohn Company LLC","0009-0018","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/02/1959","N/A","NDA","1 VIAL in 1 CARTON (0009-0018-20)  / 8 mL in 1 VIAL","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"SOLU-MEDROL","0009-0039-06","40 mg/mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Pharmacia & Upjohn Company LLC","0009-0039","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/02/1959","N/A","NDA","25 VIAL in 1 CARTON (0009-0039-06)  / 1 mL in 1 VIAL (0009-0039-05)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"SOLU-MEDROL","0009-0039-32","40 mg/mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Pharmacia & Upjohn Company LLC","0009-0039","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/02/1959","N/A","NDA","25 VIAL in 1 CARTON (0009-0039-32)  / 1 mL in 1 VIAL (0009-0039-33)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"SOLU-MEDROL","0009-0039-28","40 mg/mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Pharmacia & Upjohn Company LLC","0009-0039","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/02/1959","N/A","NDA","25 VIAL in 1 CARTON (0009-0039-28)  / 1 mL in 1 VIAL (0009-0039-30)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"SOLU-MEDROL","0009-0047-04","125 mg/2mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Pharmacia & Upjohn Company LLC","0009-0047","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/02/1959","N/A","NDA","25 VIAL in 1 CARTON (0009-0047-04)  / 2 mL in 1 VIAL (0009-0047-03)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"SOLU-MEDROL","0009-0047-22","125 mg/2mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Pharmacia & Upjohn Company LLC","0009-0047","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/02/1959","N/A","NDA","25 VIAL in 1 CARTON (0009-0047-22)  / 2 mL in 1 VIAL (0009-0047-25)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"SOLU-MEDROL","0009-0047-26","125 mg/2mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Pharmacia & Upjohn Company LLC","0009-0047","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/02/1959","N/A","NDA","25 VIAL in 1 CARTON (0009-0047-26)  / 2 mL in 1 VIAL (0009-0047-27)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"SOLU-MEDROL","0009-0698-02","1 g/mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Pharmacia & Upjohn Company LLC","0009-0698","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/02/1959","N/A","NDA","1 VIAL in 1 CARTON (0009-0698-02)  / 16 mL in 1 VIAL","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"SOLU-MEDROL","0009-0698-01","1 g/mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Pharmacia & Upjohn Company LLC","0009-0698","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/02/1959","N/A","NDA","1 VIAL in 1 CARTON (0009-0698-01)  / 16 mL in 1 VIAL","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
