"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"SOLU-MEDROL","0009-0758-01","500 mg/mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Pharmacia & Upjohn Company LLC","0009-0758","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/02/1959","N/A","NDA","1 VIAL in 1 CARTON (0009-0758-01)  / 8 mL in 1 VIAL","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"SOLU-MEDROL","0009-0850-01","2 g/30.6mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Pharmacia & Upjohn Company LLC","0009-0850","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","12/06/2019","N/A","NDA","1 VIAL in 1 CARTON (0009-0850-01)  / 30.6 mL in 1 VIAL","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Solu-Medrol","0404-9957-02","125 mg/2mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Henry Schein, Inc.","0404-9957","Methylprednisolone Sodium Succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","01/12/2022","N/A","NDA","1 VIAL, SINGLE-DOSE in 1 BAG (0404-9957-02)  / 2 mL in 1 VIAL, SINGLE-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Solu-Medrol","0404-9958-01","40 mg/mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Henry Schein, Inc.","0404-9958","Methylprednisolone Sodium Succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","01/12/2022","N/A","NDA","1 VIAL, SINGLE-DOSE in 1 BAG (0404-9958-01)  / 1 mL in 1 VIAL, SINGLE-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"SOLU-MEDROL","50090-0271-0","125 mg/2mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","A-S Medication Solutions","50090-0271","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","11/28/2014","N/A","NDA","2 mL in 1 VIAL (50090-0271-0)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"SOLU-MEDROL","51662-1263-1","125 mg/2mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","HF Acquisition Co. LLC, DBA HealthFirst","51662-1263","SOLU-MEDROL","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","09/02/2018","N/A","NDA","1 mL in 1 VIAL, SINGLE-USE (51662-1263-1)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"SOLU-MEDROL","51662-1263-3","125 mg/2mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","HF Acquisition Co. LLC, DBA HealthFirst","51662-1263","SOLU-MEDROL","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/29/2020","N/A","NDA","25 POUCH in 1 CASE (51662-1263-3)  / 1 mL in 1 POUCH (51662-1263-2)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"SOLU-MEDROL","51662-1264-1","40 mg/mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","HF Acquisition Co. LLC, DBA HealthFirst","51662-1264","SOLU-MEDROL","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","09/02/2018","N/A","NDA","1 mL in 1 VIAL, SINGLE-DOSE (51662-1264-1)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"SOLU-MEDROL","51662-1264-3","40 mg/mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","HF Acquisition Co. LLC, DBA HealthFirst","51662-1264","SOLU-MEDROL","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/28/2020","N/A","NDA","25 POUCH in 1 CASE (51662-1264-3)  / 1 mL in 1 POUCH (51662-1264-2)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Solu-Medrol","55154-3939-5","40 mg/mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Cardinal Health 107, LLC","55154-3939","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/02/1959","N/A","NDA","5 VIAL, PATENT DELIVERY SYSTEM in 1 BAG (55154-3939-5)  / 1 mL in 1 VIAL, PATENT DELIVERY SYSTEM","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Solu-Medrol","55154-3940-5","40 mg/mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Cardinal Health 107, LLC","55154-3940","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/02/1959","N/A","NDA","5 VIAL in 1 BAG (55154-3940-5)  / 1 mL in 1 VIAL","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Solu-Medrol","55154-3941-5","125 mg/2mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Cardinal Health 107, LLC","55154-3941","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/02/1959","N/A","NDA","5 VIAL in 1 BAG (55154-3941-5)  / 2 mL in 1 VIAL","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Solu-Medrol","55154-3944-5","125 mg/2mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Cardinal Health 107, LLC","55154-3944","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/02/1959","N/A","NDA","5 VIAL in 1 BAG (55154-3944-5)  / 2 mL in 1 VIAL","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"SOLU-MEDROL","70518-2023-1","125 mg/2mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","REMEDYREPACK INC.","70518-2023","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/15/2019","N/A","NDA","25 VIAL in 1 CARTON (70518-2023-1)  / 2 mL in 1 VIAL (70518-2023-0)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"SOLU-MEDROL","71872-7061-1","125 mg/2mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Medical Purchasing Solutions, LLC","71872-7061","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","03/19/2018","N/A","NDA","1 VIAL in 1 BAG (71872-7061-1)  / 2 mL in 1 VIAL","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"SOLU-MEDROL","71872-7085-1","40 mg/mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Medical Purchasing Solutions, LLC","71872-7085","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","12/10/2021","N/A","NDA","1 VIAL in 1 BAG (71872-7085-1)  / 1 mL in 1 VIAL","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"SOLU-MEDROL","71872-7232-1","125 mg/2mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Medical Purchasing Solutions, LLC","71872-7232","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","11/17/2020","N/A","NDA","1 VIAL in 1 BAG (71872-7232-1)  / 2 mL in 1 VIAL","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"SOLU-MEDROL","84549-039-28","40 mg/mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","ProPharma Distribution","84549-039","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","10/10/2025","N/A","NDA","1 mL in 1 VIAL (84549-039-28)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"SOLU-MEDROL","84549-047-22","125 mg/2mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","ProPharma Distribution","84549-047","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","08/27/2025","N/A","NDA","2 mL in 1 VIAL (84549-047-22)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"SOLU-MEDROL","85766-254-25","125 mg/2mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","Sportpharm LLC","85766-254","methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","07/23/2026","N/A","NDA","25 VIAL in 1 CARTON (85766-254-25)  / 2 mL in 1 VIAL (85766-254-01)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"SOLU-MEDROL(R) METHYLPREDNISOLONE SODIUM SUCCINAT","51662-1483-1","500 mg/4mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA011856","HF Acquisition Co LLC, DBA HealthFirst","51662-1483","SOLU-MEDROL(R) METHYLPREDNISOLONE SODIUM SUCCINAT","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","12/14/2019","N/A","NDA","1 VIAL in 1 CARTON (51662-1483-1)  / 4 mL in 1 VIAL","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
